AIRPORT RUNWAY MODEL
AMERICA EXPRESS YOURSELF
AMUSEMENT PARK RANGER
BASEBALL DIAMOND EARRINGS
BEYOND BELIEF SYSTEM
BLOOD PRESSURE POINTS
CABIN PRESSURE COOKER
CADBURY EGGS BENEDICT
CARAMEL APPLE JUICE
CIRCULAR MOTION PICTURE
CONVEYOR BELT BUCKLE
DAVID LETTERMAN SWEATER
DIVISION SIGN LANGUAGE
DOWNWARD SPIRAL PASTA
EXTENDED FAMILY VACATION
FEDERAIST PARTY ANIMAL
FINAL DESTINATION UNKNOWN
FOOD CHAIN REACTION
GOING GREEN BANANAS
GRADUATE STUDENT COUNCIL
GRAVY BOAT CAPTAIN
HAPPY BIRTHDAY SUIT
HELPING HAND SANITIZER
HOMECOMING QUEEN ELIZABETH
INNER BEAUTY PAGEANT
INSTRUCTION MANUAL TRANSMISSION
JURASSIC PARK BENCH
LIMITED ENGAGEMENT RING
LOCAL LIBRARY CARD
LOUISIANA PURCHASE PRICE
MADAME BUTTERFLY NET
MASTER BEDROOM SLIPPERS
MILITARY ACADEMY AWARDS
QUAINT COTTAGE CHEESE
REMOTE CONTROL YOURSELF
